Spots,Review,Tema,Region,train,bus,train_minutes_time,bus_minutes_time,train_type,bus_type,best_time
황리단길,1364,카페거리,경상북도,지하철용 2시간 28분,지하철용 2시간 36분,148.0,156.0,지하철용,지하철용,148.0
대릉원,592,"릉,묘,총",경상북도,기차이용 2시간 33분,버스이용 3시간 42분,153.0,222.0,기차이용,버스이용,153.0
첨성대,777,문화유적,경상북도,기차이용 2시간 36분,버스이용 3시간 46분,156.0,226.0,기차이용,버스이용,156.0
영일대해수욕장,650,"해수욕장,해변",경상북도,기차이용 2시간 42분,버스이용 3시간 57분,162.0,237.0,기차이용,버스이용,162.0
목포해상케이블카 북항승강장,517,케이블카,전라남도,기차이용 2시간 49분,버스이용 4시간 42분,169.0,282.0,기차이용,버스이용,169.0
순천만국가정원,954,국가정원,전라남도,기차이용 3시간 4분,버스이용 4시간 18분,184.0,258.0,기차이용,버스이용,184.0
이순신광장,407,광장,전라남도,기차이용 3시간 18분,버스이용 4시간 40분,198.0,280.0,기차이용,버스이용,198.0
순천만습지,537,"생태보존,서식지",전라남도,기차이용 3시간 19분,버스이용 4시간 29분,199.0,269.0,기차이용,버스이용,199.0
담양관방제림,359,유적지,전라남도,기차이용 3시간 29분,버스이용 4시간 2분,209.0,242.0,기차이용,버스이용,209.0
전주동물원,967,동물원,전라북도,기차이용 2시간 3분,버스이용 3시간 32분,123.0,212.0,기차이용,버스이용,123.0
경기전,249,"사당,제단",전라북도,기차이용 2시간 19분,버스이용 3시간 8분,139.0,188.0,기차이용,버스이용,139.0
전주한옥마을,210,"관광,명소",전라북도,기차이용 2시간 21분,버스이용 3시간 9분,141.0,189.0,기차이용,버스이용,141.0
경암동철길마을,734,"관광,명소",전라북도,기차이용 2시간 23분,버스이용 2시간 49분,143.0,169.0,기차이용,버스이용,143.0
한국도로공사 전주수목원,697,"수목원,식물원",전라북도,기차이용 2시간 24분,버스이용 3시간 14분,144.0,194.0,기차이용,버스이용,144.0
공주한옥마을,334,"관광,명소",충청남도,기차이용 1시간 25분,버스이용 2시간 31분,85.0,151.0,기차이용,버스이용,85.0
공산성,354,"산성,성곽",충청남도,기차없음,버스이용 1시간 49분,,109.0,기차없음,버스이용,109.0
유기방가옥,735,"관광,명소",충청남도,기차이용 1시간 54분,버스이용 2시간 15분,114.0,135.0,기차이용,버스이용,114.0
청산 수목원,305,"수목원,식물원",충청남도,기차이용 2시간 16분,버스이용 2시간 53분,136.0,173.0,기차이용,버스이용,136.0
온양온천랜드,423,온천,충청남도,지하철용 2시간 41분,지하철용 2시간 34분,161.0,154.0,지하철용,지하철용,154.0
청남대,474,"관광,명소",충청북도,기차이용 1시간 44분,버스이용 2시간 10분,104.0,130.0,기차이용,버스이용,104.0
포레스트리솜 해브나인스파,725,온천,충청북도,기차이용 1시간 53분,버스이용 3시간 3분,113.0,183.0,기차이용,버스이용,113.0
의림지,564,저수지,충청북도,기차이용 2시간 2분,버스이용 2시간 23분,122.0,143.0,기차이용,버스이용,122.0
충주라바랜드,206,테마파크,충청북도,기차이용 2시간 10분,버스이용 2시간 7분,130.0,127.0,기차이용,버스이용,127.0
수생식물학습원,254,"수목원,식물원",충청북도,기차이용 2시간 12분,버스이용 3시간 25분,132.0,205.0,기차이용,버스이용,132.0
에버랜드,6343,테마파크,경기도,지하철용 1시간 33분,지하철용 1시간 13분,93.0,73.0,지하철용,지하철용,73.0
화담숲,2925,"수목원,식물원",경기도,지하철용 2시간 3분,지하철용 1시간 41분,123.0,101.0,지하철용,지하철용,101.0
서울랜드,1893,테마파크,경기도,지하철용 55분,지하철용 54분,55.0,54.0,지하철용,지하철용,54.0
니지모리스튜디오,1687,테마파크,경기도,지하철용 1시간 7분,지하철용 1시간 33분,67.0,93.0,지하철용,지하철용,67.0
한국민속촌,1341,민속촌,경기도,지하철용 1시간 29분,지하철용 1시간 23분,89.0,83.0,지하철용,지하철용,83.0
간월재,171,"생태보존,서식지",울산광역시,기차이용 2시간 28분,버스이용 4시간 4분,148.0,244.0,기차이용,버스이용,148.0
와우쥬 본점,169,실내동물원,울산광역시,기차이용 2시간 35분,버스이용 4시간 49분,155.0,289.0,기차이용,버스이용,155.0
영남알프스,117,"관광,명소",울산광역시,기차이용 2시간 49분,버스이용 5시간 23분,169.0,323.0,기차이용,버스이용,169.0
태화강동굴피아,181,동굴,울산광역시,기차이용 2시간 57분,버스이용 4시간 38분,177.0,278.0,기차이용,버스이용,177.0
자수정동굴나라,407,"관광,명소",울산광역시,기차이용 3시간 5분,버스이용 5시간 38분,185.0,338.0,기차이용,버스이용,185.0
